Date,Inflation,Inf_expec_K3,Inf_expec_K4,Inf_expec_K5,Inf_expec_K6,Unemployment,Unemp_expec_k3_mcmc,Unemp_expec_k3_est,Unemp_expec_k4_mcmc,Unemp_expec_k4_est,Unemp_expec_k5_mcmc,Unemp_expec_k5_est,Unemp_expec_k6_mcmc,Unemp_expec_k6_est
Q1 1995,1.57,0.82773251,1.369500435,1.064834595,1.028792685,7.3,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 1995,1.85,0.82773251,1.369500435,1.064834595,1.028792685,7.7,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 1995,2.85,2.11,2.4,2.4025,1.963125,7.6,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q4 1995,1.87,0.82773251,1.369500435,1.064834595,1.028792685,6.6,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q1 1996,1.08,0.82773251,1.04446618,0.8184,0.75469344,6.6,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 1996,2.37,2.11,2.4,2.4025,1.963125,6.6,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 1996,1.29,0.82773251,1.369500435,1.064834595,1.028792685,6.8,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q4 1996,1.58,0.82773251,1.369500435,1.064834595,1.028792685,5.4,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q1 1997,1.55,0.82773251,1.369500435,1.064834595,1.028792685,5.8,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 1997,1.05,0.82773251,1.04446618,0.8184,0.75469344,6.6,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 1997,1.43,0.82773251,1.369500435,1.064834595,1.028792685,6.7,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q4 1997,2.13,2.11,1.369500435,1.064834595,1.963125,5.3,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q1 1998,0.88,0.82773251,1.04446618,0.8184,0.75469344,5.3,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 1998,0.85,0.82773251,1.04446618,0.8184,0.75469344,6.1,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 1998,1.12,0.82773251,1.04446618,0.8184,0.75469344,6.8,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q4 1998,1.5,0.82773251,1.369500435,1.064834595,1.028792685,7.2,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q1 1999,0.3,0.22893129,-0.253125435,0.568,0.5644,8.2,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 1999,0.95,0.82773251,1.04446618,0.8184,0.75469344,10.8,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 1999,0.41,0.22893129,1.04446618,0.568,0.5644,11.4,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q4 1999,0.77,0.82773251,1.04446618,0.8184,0.75469344,8.9,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q1 2000,1.03,0.82773251,1.04446618,0.8184,0.75469344,8.2,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 2000,1.37,0.82773251,1.369500435,1.064834595,1.028792685,9.4,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 2000,0.73,0.82773251,1.04446618,0.8184,0.75469344,10.7,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q4 2000,1.36,0.82773251,1.369500435,1.064834595,1.028792685,8.3,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q1 2001,0.48,0.22893129,1.04446618,0.8184,0.75469344,8.8,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
